Date,Year,Month,Station,Air_Temp_degC,Humidity_pct,Wind_Speed_m_s,Precipitation_mm,Cloud_Cover_pct,ENSO_Index,Sea_Surface_Temp_degC
2023-02-01,2023,2,Central,11.1,79.4,3.82,117.5,43.3,-0.04,14.93
2023-03-01,2023,3,South,16.49,67.5,4.71,99999.0,67.8,-0.08,18.78
2023-04-01,2023,4,North,21.76,59.6,5.93,83.6,45.0,-0.05,20.16
2023-05-01,2023,5,Central,25.27,57.4,5.52,45.1,58.0,-0.09,24.04
2023-06-01,2023,6,South,Unknown,57.4,4.55,72.9,47.6,0.17,24.52
2023-07-01,2023,7,North,23.37,72.8,NAN,81.2,43.0,-0.15,25.38
2023-08-01,2023,8,Central,19.87,61.4,3.35,70.1,53.2,-0.18,21.38
2023-09-01,2023,9,South,,74.2,4.71,80.2,78.4,-0.25,19.59
2023-10-01,2023,10,North,11.36,70.0,4.68,90.9,85.9,-0.29,14.11
2023-11-01,2023,11,Central,6.11,82.5,5.28,73.3,66.2,-0.32,13.08
2023-12-01,2023,12,South,5.16,80.9,NaN,91.8,68.9,-0.27,12.01
2024-01-01,2024,1,North,6.79,77.0,5.57,89.0,78.3,-0.63,11.92
2024-02-01,2024,2,Central,12.63,74.3,6.22,93.4,50.9,-0.57,
2024-03-01,2024,3,South,16.5,66.7,5.19,97.0,59.0,Unknown,19.22
2024-04-01,2024,4,North,21.98,67.7,5.42,41.7,48.7,NAN,21.22
2024-05-01,2024,5,Central,23.27,NAN,5.06,54.9,48.4,-0.49,22.55
2024-06-01,2024,6,South,25.53,54.9,5.0,87.6,33.0,-0.51,24.75
2024-07-01,2024,7,North,25.16,55.8,4.13,41.3,25.5,-0.65,23.15
2024-08-01,2024,8,Central,20.18,66.4,5.38,46.9,24.1,-0.72,21.21
2024-09-01,2024,9,South,17.06,77.9,4.88,79.5,41.6,-0.54,18.2
2024-10-01,2024,10,North,10.55,75.3,7.51,103.6,55.5,-0.6,13.64
2024-11-01,2024,11,Central,7.79,77.2,6.89,92.6,61.9,-0.84,11.29
2024-12-01,2024,12,South,6.55,80.4,5.46,124.2,90.2,-0.63,12.13
2025-01-01,2025,1,North,6.33,84.3,4.08,111.2,78.7,0.38,12.44
2025-02-01,2025,2,Central,12.66,75.6,3.67,103.5,49.5,0.21,13.16
2025-03-01,2025,3,South,15.44,67.9,6.43,87.2,59.2,0.37,19.11
2025-04-01,2025,4,North,20.8,71.0,5.32,116.2,44.1,0.13,21.91
2025-05-01,2025,5,Central,24.94,64.3,5.58,53.2,41.2,0.54,23.58
2025-06-01,2025,6,South,26.08,68.7,99999.0,10.9,45.2,0.53,23.96
2025-07-01,2025,7,North,25.27,63.1,6.11,93.0,52.0,0.31,24.77
2025-08-01,2025,8,Central,20.6,59.4,5.55,54.9,44.9,0.4,22.02
2025-09-01,2025,9,South,15.52,63.2,3.67,77.4,67.8,-0.02,20.32
2025-10-01,2025,10,North,11.64,82.8,4.43,113.8,47.3,0.17,15.54
2025-11-01,2025,11,Central,5.45,,5.32,57.1,65.5,0.3,13.16
2025-12-01,2025,12,South,4.68,78.1,5.06,67.5,99999.0,0.18,11.82
